PHR Address,Snapshot 1,Snapshot 2,Snapshot 3,Snapshot 4,Snapshot 5,Snapshot 6
PAUr3oP1wu2BmxjXyvbke7W1sfr4GrVU3v,16302.54446033,16302.54446033,16302.54446033,16302.54446033,16302.54446033,16302.54446033
PHBHypK4tNsQBKb5atGvznVKHkc5nWoZyn,16282.66473427,16282.66473427,16282.66473427,16282.66473427,16282.66473427,16282.66473427
PEFNvfMLcFE4317KTAPfRVXiff9WqQFS12,15945.91005234,16060.93005234,16172.71005234,16278.01005234,16381.69005234,16490.23005234
PFgKyWvapdmH7ZHXcDYPs93omS6wCet5bW,15857.16963187,15967.32963187,16077.48963187,16187.64963187,16292.94963187,16403.10963187
PSYXeDDdC5rbswvRiKRn17Fqx45rvKPTkT,10886.13861386,10886.13861386,10886.13861386,10886.13861386,23978.11881188,29162.67326734
PCtQXcnHrfxUr32WqeiwwuLtdcmmZCm23r,16102.85830070,16102.85830070,16102.85830070,16102.85830070,16102.85830070,16102.85830070
PMWxiiWk4g18sQZXkYxHYQJ9693sTA1qaX,16076.46736137,16076.46736137,16076.46736137,16076.46736137,16076.46736137,16076.46736137
PPRNpFQjGSMxtCoMCqhupNP5N6MrCHcxjU,15786.82908701,15898.60908701,16010.38908701,16115.68908701,16224.22908701,16331.14908701
PEasFbkkBGRvBsHqvsyooSaHLSNB4Uwawk,96139.23850195,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PKHdghj3TtgnSusHrksEXNYr1wgLP2Qzvh,15620.00602124,15767.96602124,15920.24602124,16064.96602124,16235.60602124,16290.68602124
PEJmWptc5FptVXsXxLMePW8gqKHLDNzvwx,15971.98000000,15971.98000000,15971.98000000,15971.98000000,15971.98000000,15971.98000000
PQsgR793UWtpsKVEmsWMvNr4y2FwpwWSCy,15962.57427671,15962.57427671,15962.57427671,15962.57427671,15962.57427671,15962.57427671
PGc5VNdmVb5KJcNFzYhvheFwReNpYdLQpC,15928.67133537,15928.67133537,15928.67133537,15928.67133537,15928.67133537,15928.67133537
PBSo31ywjsJDqRC8ycraJ8VDHRNhCjAB9U,15917.65698162,15917.65698162,15917.65698162,15917.65698162,15917.65698162,15917.65698162
PVAWz5gLp5XdgHf6RWWwXewDzqiZG1VJmY,15886.15030442,15886.15030442,15886.15030442,15886.15030442,15886.15030442,15886.15030442
PLZjkjNzzSjUDndBZhwqyBcmSYSkuG3pe2,15596.83108570,15710.23108570,15818.77108570,15928.93108570,16037.47108570,16150.87108570
PEHUCuhquAY6cZxQbrRHWJabwjGQvRaUzW,15869.92000000,15869.92000000,15869.92000000,15869.92000000,15869.92000000,15869.92000000
PHJR1ic8m3r6fG1TQk716kkLmYbeKb4E49,15849.75047652,15849.75047652,15849.75047652,15849.75047652,15849.75047652,15849.75047652
PEPHFNx9Wwd3WLviPRtMXjtoPPGG5LKUiM,15543.75173263,15632.31173263,15741.39173263,15856.95173263,15983.31173263,16038.39173263
